Index,Open,High,Low,Close,Volume
2074/3/20,304.5,312,304.5,310.5,14475
2074/3/21,310,315,306,314.5,17640
2074/3/22,314,315.5,311.5,314.25,9261
2074/3/23,313.5,316,308,310.25,11467
2074/3/24,308,311,305.75,306.25,10902
2074/3/25,306.5,310.25,303.5,308,11248
2074/3/26,308.5,318,308.5,317,19450
2074/3/27,316,318.5,313.5,315,14760
2074/3/28,315.25,322,311,321.5,24609
2074/3/29,321,324,318.5,318.75,13472
2074/3/30,318.75,319,315,315.25,9580
2074/3/31,315.25,322.5,313.5,320.75,12712
2074/4/1,320.75,330,320.75,327.5,16197
2074/4/2,326,338,325,335.5,17893
2074/4/3,335,341.5,333,334.5,15503
2074/4/4,334.5,335.5,329.5,333.25,10860
2074/4/5,333,347,332.75,346.25,20377
2074/4/6,345.5,355.5,343,343.5,26469
2074/4/7,343,348,341,342.5,12539
2074/4/8,341.5,350,341.5,349.5,13306
2074/4/9,350,353.5,345,347.25,235
2074/4/10,347.25,347.25,336.75,339.25,154
2074/4/11,339,351,336.25,348.5,227
2074/4/12,348.5,355,347,351,347
2074/4/13,352,356,349.5,354,96
2074/4/14,354.25,357,347,349.75,66
2074/4/15,352,361,337,358.5,185
2074/4/16,358.5,361,355,357.25,74
2074/4/17,356.25,358,354,357.5,133
2074/4/18,357,364.5,355.25,358.5,54
2074/4/19,359,368.5,359,361.75,77
2074/4/20,360.25,367,360,365,101
2074/4/21,367,372,367,368.25,474
2074/4/22,369.75,379,368.75,378.5,56
2074/4/23,381.5,387,381.5,383.5,476
2074/4/24,394,394.25,379.5,381.25,656
2074/4/25,380.75,389.5,378,378.75,553
2074/4/26,378,385.5,373.5,376,515
2074/4/27,376,377.5,372.5,375,609
2074/4/28,375,376.5,369.5,371.25,255
2074/4/29,375.25,380,373,373.75,1005
2074/4/30,373.75,374.75,367,373.75,260
2074/5/1,373.75,378.5,371.5,372.25,99
2074/5/2,372,382,368.5,381,211
2074/5/3,379.5,379.5,374.5,377.25,817
2074/5/4,380,380.5,370.5,371.5,514
2074/5/5,373.5,374,367.5,367.75,225
2074/5/6,368,368.5,358,359,398
2074/5/7,358.5,364.5,356.5,361.75,379
2074/5/8,361.75,364.5,357.25,358.5,231
2074/5/9,356.25,358.5,351.5,353.5,213
2074/5/10,353.25,357.5,348.5,349.5,96
2074/5/11,348,348.5,338.5,340.75,400
2074/5/12,341,348,338.25,347.25,378
2074/5/13,346.5,351,342.5,345.5,324
2074/5/14,345.75,348.75,341,344.75,176
2074/5/15,345.25,354,343,353,170
2074/5/16,353,363,352.5,360.5,379
2074/5/17,360.5,364.5,357,359.5,349
2074/5/18,358.75,360,353.5,355.25,299
2074/5/19,355,363,353,360.25,139
2074/5/20,360.25,365.75,358.25,364.25,79
2074/5/21,364.25,367.25,355.5,359,407
2074/5/22,359.25,360.75,351.5,352.25,231
2074/5/23,349,349.5,340.5,341,661
2074/5/24,342.5,342.5,329,332.5,497
2074/5/25,333,334,325.5,327.75,316
